,pfaf_id,1-Day_TotalArea_km2,1-Day_perc_Area,1-Day_CS_TotalArea_km2,1-Day_CS_perc_Area,2-Day_TotalArea_km2,2-Day_perc_Area,3-Day_TotalArea_km2,3-Day_perc_Area
0,111011,11.5,0.607,6.062,0.32,0.625,0.033,0.0,0.0
1,111012,2.062,0.07,1.75,0.06,0.312,0.011,0.0,0.0
2,111013,10.188,1.138,3.688,0.412,1.062,0.119,0.25,0.028
3,111014,3.188,0.075,0.438,0.01,0.0,0.0,0.0,0.0
4,111015,14.562,0.087,11.438,0.069,1.688,0.01,1.938,0.012
5,111016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,111017,4.188,0.048,3.375,0.039,0.188,0.002,0.062,0.001
7,111018,0.062,0.003,0.062,0.003,0.0,0.0,0.0,0.0
8,111019,9.312,0.142,7.188,0.109,1.75,0.027,0.562,0.009
9,111020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,111030,1.875,0.034,1.875,0.034,0.438,0.008,0.062,0.001
11,111041,56.75,0.412,25.562,0.186,0.062,0.0,0.0,0.0
12,111042,1.188,0.022,0.75,0.014,0.0,0.0,0.0,0.0
13,111043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,111044,0.188,0.004,0.062,0.001,0.0,0.0,0.0,0.0
15,111045,6.812,0.111,0.062,0.001,0.0,0.0,0.0,0.0
16,111046,1.0,0.027,0.188,0.005,0.0,0.0,0.0,0.0
17,111047,2.875,0.394,0.0,0.0,0.0,0.0,0.0,0.0
18,111048,3.312,0.092,0.375,0.01,0.0,0.0,0.0,0.0
19,111049,27.062,0.745,1.125,0.031,0.0,0.0,0.0,0.0
20,111050,18.812,0.116,12.25,0.075,2.625,0.016,0.438,0.003
21,111060,3.562,0.078,3.25,0.071,0.75,0.016,0.0,0.0
22,111070,20.938,0.186,19.0,0.169,1.5,0.013,0.0,0.0
23,111081,1.625,0.038,1.562,0.036,0.062,0.001,0.0,0.0
24,111082,0.75,0.005,0.5,0.003,0.0,0.0,0.0,0.0
25,111083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,111084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,111085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,111086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,111087,1.5,0.013,1.5,0.013,0.688,0.006,0.062,0.001
30,111088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,111089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,111090,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,111091,0.688,0.397,0.625,0.361,0.0,0.0,0.0,0.0
34,111092,0.875,0.036,0.75,0.031,0.0,0.0,0.0,0.0
35,111093,8.688,0.053,7.125,0.043,2.938,0.018,0.0,0.0
36,111094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,111095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,111096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,111097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,111098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,111099,1.938,0.04,1.812,0.037,0.0,0.0,0.0,0.0
42,112011,0.125,0.005,0.0,0.0,0.0,0.0,0.0,0.0
43,112012,1.0,0.006,0.688,0.004,0.0,0.0,0.0,0.0
44,112013,1.688,0.013,0.562,0.004,0.0,0.0,0.0,0.0
45,112014,27.375,0.093,6.375,0.022,0.312,0.001,0.0,0.0
46,112015,1.938,0.049,0.625,0.016,0.0,0.0,0.0,0.0
47,112016,5.312,0.052,2.0,0.02,0.0,0.0,0.0,0.0
48,112017,6.5,0.056,2.75,0.024,0.25,0.002,0.0,0.0
49,112018,1.5,0.012,0.938,0.007,0.0,0.0,0.0,0.0
50,112019,0.438,0.001,0.375,0.001,0.0,0.0,0.0,0.0
51,112020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,112030,0.188,0.009,0.188,0.009,0.0,0.0,0.0,0.0
53,112041,8.625,0.242,2.125,0.06,0.562,0.016,0.0,0.0
54,112042,56.5,0.685,24.688,0.299,3.625,0.044,0.0,0.0
55,112043,1.438,0.151,0.625,0.066,0.062,0.007,0.0,0.0
56,112044,11.438,0.239,5.0,0.105,0.938,0.02,0.0,0.0
57,112045,4.0,0.182,1.562,0.071,0.0,0.0,0.0,0.0
58,112046,31.0,0.198,5.438,0.035,0.562,0.004,0.0,0.0
59,112047,25.625,0.132,5.625,0.029,0.25,0.001,0.0,0.0
60,112048,0.5,0.009,0.0,0.0,0.0,0.0,0.0,0.0
61,112049,1.812,0.012,1.438,0.01,0.0,0.0,0.0,0.0
62,112050,17.562,0.254,5.688,0.082,0.062,0.001,0.0,0.0
63,112060,21.312,0.274,9.312,0.12,0.0,0.0,0.0,0.0
64,112070,4.375,0.224,1.625,0.083,0.188,0.01,0.0,0.0
65,112111,7.812,0.024,7.188,0.022,5.25,0.016,0.25,0.001
66,112112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,112113,0.125,0.002,0.125,0.002,0.0,0.0,0.0,0.0
68,112114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,112115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,112116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,112117,0.062,0.004,0.062,0.004,0.062,0.004,0.0,0.0
72,112118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,112119,0.5,0.009,0.312,0.005,0.312,0.005,0.125,0.002
74,112120,0.062,0.001,0.062,0.001,0.0,0.0,0.0,0.0
75,112130,2.312,0.076,2.25,0.074,0.312,0.01,0.0,0.0
76,112140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,112150,0.125,0.026,0.125,0.026,0.0,0.0,0.0,0.0
78,112160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,112170,8.125,0.056,5.312,0.037,0.875,0.006,0.312,0.002
80,112180,0.688,0.014,0.312,0.007,0.0,0.0,0.0,0.0
81,112190,100.0,0.899,31.75,0.285,2.5,0.022,0.688,0.006
82,112200,21.312,0.074,7.562,0.026,0.0,0.0,0.0,0.0
83,112300,22.938,0.325,19.062,0.27,0.75,0.011,0.0,0.0
84,112400,3.5,0.013,0.938,0.004,0.188,0.001,0.0,0.0
85,112500,7.25,1.021,6.312,0.889,0.062,0.009,0.0,0.0
86,112600,4.625,0.071,2.812,0.043,0.0,0.0,0.0,0.0
87,112700,30.438,0.389,9.125,0.117,0.562,0.007,0.0,0.0
88,112801,2.375,0.041,0.375,0.007,0.0,0.0,0.0,0.0
89,112802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,112803,0.125,0.001,0.0,0.0,0.0,0.0,0.0,0.0
91,112804,0.688,0.009,0.25,0.003,0.0,0.0,0.0,0.0
92,112805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,112806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,112807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,112808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,112809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,112901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,112902,15.562,0.567,3.938,0.144,0.0,0.0,0.0,0.0
99,112903,1.938,0.196,1.438,0.145,0.125,0.013,0.0,0.0
100,112904,26.188,1.039,3.562,0.141,0.0,0.0,0.0,0.0
101,112905,0.125,0.397,0.125,0.397,0.0,0.0,0.0,0.0
102,112906,3.5,0.17,0.938,0.045,0.0,0.0,0.0,0.0
103,112907,2.375,0.359,0.312,0.047,0.062,0.009,0.0,0.0
104,112908,12.438,0.28,3.5,0.079,0.312,0.007,0.0,0.0
105,112909,25.875,0.147,17.812,0.101,0.75,0.004,0.0,0.0
106,113000,10.688,0.271,8.25,0.209,0.125,0.003,0.188,0.005
107,114001,731.75,1.556,380.25,0.809,7.25,0.015,0.0,0.0
108,114002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,114100,0.75,0.052,0.688,0.048,0.0,0.0,0.0,0.0
110,114210,336.0,2.323,161.062,1.113,4.875,0.034,0.0,0.0
111,114221,9.562,0.462,7.062,0.341,0.5,0.024,0.0,0.0
112,114222,74.812,1.492,56.375,1.124,1.312,0.026,0.0,0.0
113,114223,8.312,5.463,5.375,3.532,0.312,0.205,0.0,0.0
114,114224,1503.688,2.254,703.0,1.054,21.438,0.032,0.125,0.0
115,114225,22.0,1.136,14.625,0.755,1.75,0.09,0.0,0.0
116,114226,148.688,1.015,108.688,0.742,4.438,0.03,0.0,0.0
117,114227,227.25,1.092,150.188,0.722,10.375,0.05,0.0,0.0
118,114228,42.125,0.853,24.188,0.49,4.375,0.089,0.0,0.0
119,114229,118.438,1.497,89.25,1.128,3.688,0.047,0.0,0.0
120,114230,45.062,2.095,26.5,1.232,0.0,0.0,0.0,0.0
121,114240,187.688,2.183,73.75,0.858,0.125,0.001,0.0,0.0
122,114250,169.125,4.398,50.875,1.323,1.75,0.046,0.0,0.0
123,114260,124.312,2.124,33.562,0.574,0.0,0.0,0.0,0.0
124,114270,211.688,1.642,57.188,0.444,0.125,0.001,0.0,0.0
125,114281,11.938,1.326,3.312,0.368,0.0,0.0,0.0,0.0
126,114282,115.438,2.126,42.812,0.788,0.25,0.005,0.0,0.0
127,114283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,114284,381.0,3.056,142.375,1.142,4.312,0.035,0.0,0.0
129,114285,31.125,2.779,9.812,0.876,0.0,0.0,0.0,0.0
130,114286,63.188,1.093,17.625,0.305,0.125,0.002,0.0,0.0
131,114287,37.125,1.021,16.0,0.44,0.0,0.0,0.0,0.0
132,114288,1.438,0.064,1.438,0.064,0.0,0.0,0.0,0.0
133,114289,35.438,0.764,9.75,0.21,0.062,0.001,0.0,0.0
134,114290,359.5,1.572,128.625,0.562,1.188,0.005,0.0,0.0
135,114300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,114410,7.875,0.272,6.875,0.237,0.938,0.032,0.75,0.026
137,114411,74.875,0.748,56.75,0.567,2.875,0.029,0.0,0.0
138,114412,16.375,0.539,11.875,0.391,1.188,0.039,0.0,0.0
139,114413,56.562,0.435,38.188,0.294,1.562,0.012,0.0,0.0
140,114414,3.0,0.107,2.5,0.089,0.312,0.011,0.0,0.0
141,114415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,114416,30.812,0.841,19.562,0.534,0.625,0.017,0.0,0.0
143,114417,0.125,0.027,0.125,0.027,0.0,0.0,0.0,0.0
144,114418,12.688,0.118,12.5,0.116,1.125,0.01,0.0,0.0
145,114419,3.188,0.11,3.125,0.108,0.062,0.002,0.0,0.0
146,114420,7.312,0.048,7.125,0.047,0.25,0.002,0.0,0.0
147,114430,9.375,0.089,8.438,0.08,0.0,0.0,0.0,0.0
148,114441,2.688,0.189,1.75,0.123,0.0,0.0,0.0,0.0
149,114442,7.25,0.222,2.938,0.09,0.25,0.008,0.0,0.0
150,114443,97.0,0.49,63.75,0.322,2.75,0.014,0.0,0.0
151,114444,11.812,0.385,6.562,0.214,0.0,0.0,0.0,0.0
152,114445,3.125,0.06,3.062,0.059,0.0,0.0,0.0,0.0
153,114446,176.625,2.425,76.75,1.054,10.062,0.138,0.0,0.0
154,114447,6.625,0.268,4.75,0.192,0.75,0.03,0.0,0.0
155,114448,40.75,0.388,17.25,0.164,0.5,0.005,0.0,0.0
156,114449,13.562,0.183,1.75,0.024,0.125,0.002,0.0,0.0
157,114450,0.125,0.031,0.125,0.031,0.0,0.0,0.0,0.0
158,114460,34.188,0.137,28.812,0.116,2.062,0.008,0.0,0.0
159,114470,29.0,0.125,23.25,0.101,1.062,0.005,0.0,0.0
160,114480,14.312,0.095,7.562,0.05,0.062,0.0,0.0,0.0
161,114490,52.875,0.275,35.0,0.182,3.625,0.019,19.5,0.101
162,114500,56.312,0.234,46.812,0.195,3.062,0.013,0.0,0.0
163,114601,4.75,0.095,3.875,0.077,0.188,0.004,0.0,0.0
164,114602,39.375,0.429,13.625,0.149,3.0,0.033,0.0,0.0
165,114603,2.188,0.504,0.688,0.158,0.125,0.029,0.0,0.0
166,114604,3.188,0.053,0.938,0.016,0.188,0.003,0.0,0.0
167,114605,1.625,0.046,0.688,0.02,0.062,0.002,0.0,0.0
168,114606,0.875,0.018,0.188,0.004,0.0,0.0,0.0,0.0
169,114607,17.375,0.095,5.812,0.032,1.062,0.006,0.0,0.0
170,114608,0.938,0.028,0.5,0.015,0.0,0.0,0.0,0.0
171,114609,2.688,0.105,0.188,0.007,0.125,0.005,0.0,0.0
172,114701,20.0,0.491,9.562,0.235,0.125,0.003,0.0,0.0
173,114702,6.875,0.16,2.875,0.067,0.438,0.01,0.0,0.0
