Point No,Station,Basin,Country,Lat,Lon,Upstream area,Forecast Date,max_EPS,GloFAS_2yr,GloFAS_5yr,GloFAS_20yr,Alert_level,Days_until_peak,pfaf_id
1,Stolb,Lena,Russian Federation,72.325,126.825,2460000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342111
2,7_5Km Ds Of Mouth Of River Pur,Olenek,Russian Federation,72.175,123.325,198000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331810
3,Khatanga,Khatanga,Russian Federation,71.975,102.475,275000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331630
4,Saskylakh,Anabar,Russian Federation,71.975,114.075,78800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331761
5,Ubileynaya,Yana,Russian Federation,70.775,136.075,224000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351215
6,Kyusyur Kusur,Lena,Russian Federation,70.725,127.375,2430000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342115
7,Malaya Kuonapka At Dzhalinda,Anabar,Russian Federation,70.175,113.975,20300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331764
8,Polmak Nye,Tana,Norway,70.075,28.075,14161.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
10,Onnelansuvanto,Tana,Norway,69.925,26.975,10864.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
11,Utsjoki  Patoniva,Tana,Norway,69.775,27.025,1520.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252106
9,Na,Coastal,United States of America,69.975,-148.675,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,7,813904
12,Na,Lena,Russian Federation,69.675,124.975,,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,342119
13,Vorontsovo,Indigirka,Russian Federation,69.625,147.375,305000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351416
14,Namy,Omoloy,Russian Federation,69.575,132.325,10800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351108
15,Norilka At Valek,Pyasina,Russian Federation,69.425,88.325,19800.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331295
16,Umiat Ak,Colville,United States of America,69.375,-152.125,35820.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,813805
17,Andrushkino,Alazeya,Russian Federation,69.175,154.475,29000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351603
18,Kaitakoski - Lake Inari Outlet,Coastal,Finland,68.925,27.125,14575.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,252200
19,Kolymskaya,Kolyma,Russian Federation,68.725,158.725,526000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,351851
20,Sukhana,Olenek,Russian Federation,68.675,118.075,127000.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,331839
21,Below Carnwath River,Anderson,Canada,68.625,-128.425,56300.000,2026-03-02T00:00:00,-9999/-9999/-9999,-9999,-9999,-9999,0,1,823041
